id,intent,text,entities
3781,driver_alerts_near_me,motorcycle without headlight near f-10 markaz Multan,"{""city"": ""Multan"", ""landmark"": ""f-10 markaz""}"
6464,find_nearby_service,nearby Motorway Police Peshawar,"{""city"": ""Peshawar"", ""service"": ""Motorway Police""}"
3529,driver_alerts_near_me,wrong way driver spotted kalma chowk sukkur,"{""city"": ""sukkur"", ""landmark"": ""kalma chowk""}"
4322,road_condition_status,street lights not working in shadmanmarket gujranwala,"{""city"": ""gujranwala"", ""landmark"": ""shadmanmarket""}"
447,report_incident,ccdent h gaya f10markaz slmabad,"{""city"": ""islamabad"", ""landmark"": ""f10markaz"", ""incident_type"": ""accident""}"
375,report_incident,wrong-way driver ho gaya Liberty Chowk quetta,"{""city"": ""quetta"", ""landmark"": ""Liberty Chowk"", ""incident_type"": ""wrong-way driver""}"
6404,find_nearby_service,nearby Edhi Ambulance isl,"{""city"": ""isl"", ""service"": ""Edhi Ambulance""}"
5945,find_quick_tips,best practices for fog driving,"{""incident_type"": ""fog""}"
5830,find_quick_tips,prevent wrong-way driver tips,"{""incident_type"": ""wrong-way driver""}"
652,report_incident,please log wrong-way driver at shadman market Hyderabad,"{""city"": ""Hyderabad"", ""landmark"": ""shadman market"", ""incident_type"": ""wrong-way driver""}"
2558,ask_emergency_contact,Contact towing service please,"{""service"": ""Towing Service""}"
5457,how_to_fix_issue,headlight failure ho jaye to kia karun,"{""issue"": ""headlight failure""}"
2646,ask_emergency_contact,cntact Mechnic please,"{""service"": ""Mechanic""}"
3594,driver_alerts_near_me,wrong way driver spotted Saddar Gujranwala,"{""city"": ""Gujranwala"", ""landmark"": ""Saddar""}"
290,report_incident,i saw a speed breaker damaged at kalma chowk in sukkur,"{""city"": ""sukkur"", ""landmark"": ""kalma chowk"", ""incident_type"": ""speed breaker damaged""}"
5092,how_to_fix_issue,how to fix brake failure?,"{""issue"": ""brake failure""}"
2288,ask_safe_route,route with fewer accidents from Rawalpindi to Sialkot,"{""city"": ""Rawalpindi"", ""city2"": ""Sialkot""}"
5012,get_weather_alerts,strong winds sukkur?,"{""city"": ""sukkur""}"
4964,get_weather_alerts,strong winds islamabad?,"{""city"": ""islamabad""}"
4259,road_condition_status,is canalroad Multan flooded 🙂,"{""city"": ""Multan"", ""landmark"": ""canalroad""}"
3053,sos_help,Urgent help required bahriatown karachi,"{""city"": ""Karachi"", ""landmark"": ""bahriatown""}"
3916,driver_alerts_near_me,overloaded van in Gujranwala near clifton,"{""city"": ""Gujranwala"", ""landmark"": ""clifton""}"
3458,driver_alerts_near_me,any rash drivers nar johar town isl?,"{""city"": ""isl"", ""landmark"": ""johar town""}"
3644,driver_alerts_near_me,drunk driver near me Lahore,"{""city"": ""Lahore""}"
3062,sos_help,urgent help required johar town rawalpindi,"{""city"": ""rawalpindi"", ""landmark"": ""johar town""}"
2093,ask_safe_route,avoid high risk roads between Kalma Chowk Hyderabad and Saddar Sukkur,"{""city"": ""Hyderabad"", ""city2"": ""Sukkur"", ""landmark"": ""Kalma Chowk"", ""landmark2"": ""Saddar""}"
4736,get_weather_alerts,fog alert on m2,{}
5867,find_quick_tips,best practices for accident driving,"{""incident_type"": ""accident""}"
1423,ask_recent_incidents,kya peshawar me broken signal updates hain,"{""city"": ""peshawar"", ""incident_type"": ""broken signal""}"
3149,sos_help,accident help canal road sialkot,"{""city"": ""sialkot"", ""landmark"": ""canal road""}"
1335,ask_recent_incidents,kya rawalpindi me reckless driver updates hain,"{""city"": ""rawalpindi"", ""incident_type"": ""reckless driver""}"
3140,sos_help,ccdnt help kalma chowk Hyderbad,"{""city"": ""Hyderabad"", ""landmark"": ""kalma chowk""}"
748,report_incident,report wrong-way driver Peshawar f-10 markaz abhi,"{""city"": ""Peshawar"", ""landmark"": ""f-10 markaz"", ""incident_type"": ""wrong-way driver""}"
1108,ask_recent_incidents,aj rwlpndi me poor lghting h?,"{""city"": ""rawalpindi"", ""incident_type"": ""poor lighting""}"
5675,find_quick_tips,give me safety tips for hailstorm 💥,"{""incident_type"": ""hailstorm""}"
514,report_incident,yahan heavy rain hua hai near clifton Quetta,"{""city"": ""Quetta"", ""landmark"": ""clifton"", ""incident_type"": ""heavy rain""}"
2767,ask_emergency_contact,Edhi Ambulance ka number kya hai,"{""service"": ""Edhi Ambulance""}"
6003,find_quick_tips,safety advice speed breaker damaged,"{""incident_type"": ""speed breaker damaged""}"
3321,sos_help,emergency at Clifton Karachi Towing Service needed,"{""city"": ""Karachi"", ""landmark"": ""Clifton"", ""service"": ""Towing Service""}"
5389,how_to_fix_issue,fog driving what to do,"{""issue"": ""fog driving""}"
2164,ask_safe_route,Is there a safer route to murree road lahore from shadmanmarket krachi,"{""city"": ""krachi"", ""city2"": ""Lahore"", ""landmark"": ""shadmanmarket"", ""landmark2"": ""Murree Road""}"
1588,ask_recent_incidents,past 24h brake failure islamabad,"{""city"": ""islamabad"", ""incident_type"": ""brake failure""}"
2846,ask_emergency_contact,Towing Service ka number kya hai,"{""service"": ""Towing Service""}"
4345,road_condition_status,street lights not working in gulshaneiqbal Rawalpindi,"{""city"": ""Rawalpindi"", ""landmark"": ""gulshaneiqbal""}"
6011,find_quick_tips,safety advice fog,"{""incident_type"": ""fog""}"
333,report_incident,i saw a drunk driver at clifton in sukkur,"{""city"": ""sukkur"", ""landmark"": ""clifton"", ""incident_type"": ""drunk driver""}"
1876,ask_safe_route,best safe route from F-10 Markaz peshawar to Clifton Faisalabad,"{""city"": ""peshawar"", ""city2"": ""Faisalabad"", ""landmark"": ""F-10 Markaz"", ""landmark2"": ""Clifton""}"
