id,type,title,description,location,severity,date,source
1,accident,Three killed in Karachi accidents,A dumper truck hit a motorcycle in Dur Muhammad Goth; another accident in Nazimabad killed two motorcyclists.,Karachi,High,2025-09-23T08:30:00,https://www.dawn.com/news/1944113
2,accident,One killed near Korangi Godam Chorangi,"A rashly driven truck hit a motorcyclist near Korangi Godam Chorangi, killing one person.",Karachi,High,2025-09-23T09:45:00,https://www.urdupoint.com/en/pakistan/one-killed-in-karachi-road-accident-2049445.html
3,accident,Hit-and-run incident,Car fled scene after hitting a motorcyclist.,Rawalpindi,High,2024-10-18T01:32:00,https://www.dawn.com/
4,accident,Van hits pedestrian,Passenger van ran over a pedestrian while crossing the road.,Multan,Medium,2025-06-24T10:12:00,https://www.dawn.com/
5,accident,Fatal bike accident,"Bike slipped on wet road, leading to fatal injuries.",Sialkot,High,2025-02-01T10:06:00,User Report (Chatbot)
6,accident,Oil tanker accident,"Tanker overturned, spilling oil on the road.",Faisalabad,Medium,2024-11-25T15:39:00,https://www.dawn.com/
7,accident,Car into divider,Car lost control and hit the road divider at high speed.,Quetta,Medium,2024-11-24T09:41:00,Local Traffic Police Report
8,accident,Car into divider,Car lost control and hit the road divider at high speed.,Islamabad,Low,2025-03-15T14:34:00,User Report (Chatbot)
9,accident,Multi-vehicle pileup,Fog caused a 5-car collision on motorway.,Sukkur,High,2024-12-28T05:24:00,User Report (Chatbot)
10,accident,Oil tanker accident,"Tanker overturned, spilling oil on the road.",Lahore,Critical,2025-06-23T12:51:00,https://arynews.tv/
11,accident,School bus accident,Children injured as school bus collided with a rickshaw.,Peshawar,Critical,2025-04-28T21:52:00,https://www.geo.tv/
12,accident,Fatal bike accident,"Bike slipped on wet road, leading to fatal injuries.",Karachi,High,2024-10-03T14:11:00,User Report (Chatbot)
13,accident,Hit-and-run incident,Car fled scene after hitting a motorcyclist.,Faisalabad,Medium,2025-02-11T03:59:00,Local Traffic Police Report
14,accident,Bus overturned,"Passenger bus overturned, injuring multiple people.",Hyderabad,High,2025-07-26T11:15:00,https://www.geo.tv/
15,accident,Fatal bike accident,"Bike slipped on wet road, leading to fatal injuries.",Faisalabad,Low,2025-06-28T10:09:00,Local Traffic Police Report
16,accident,Oil tanker accident,"Tanker overturned, spilling oil on the road.",Sialkot,High,2025-06-04T11:03:00,https://arynews.tv/
17,accident,Fatal bike accident,"Bike slipped on wet road, leading to fatal injuries.",Faisalabad,Critical,2025-05-17T05:00:00,https://www.geo.tv/
18,accident,Hit-and-run incident,Car fled scene after hitting a motorcyclist.,Hyderabad,Low,2025-04-03T00:02:00,User Report (Chatbot)
19,accident,Oil tanker accident,"Tanker overturned, spilling oil on the road.",Lahore,Critical,2025-09-17T01:04:00,https://www.dawn.com/
20,accident,Fatal bike accident,"Bike slipped on wet road, leading to fatal injuries.",Faisalabad,High,2024-10-14T04:58:00,User Report (Chatbot)
21,accident,Truck collision,"Truck hit a motorcycle, causing serious injuries.",Lahore,Low,2025-02-10T13:47:00,Local Traffic Police Report
22,accident,Van hits pedestrian,Passenger van ran over a pedestrian while crossing the road.,Lahore,Critical,2025-01-28T13:26:00,User Report (Chatbot)
23,accident,Truck collision,"Truck hit a motorcycle, causing serious injuries.",Sialkot,Critical,2025-04-17T09:41:00,Local Traffic Police Report
24,accident,Van hits pedestrian,Passenger van ran over a pedestrian while crossing the road.,Sukkur,Critical,2025-04-07T19:32:00,User Report (Chatbot)
25,accident,Car into divider,Car lost control and hit the road divider at high speed.,Quetta,Medium,2025-05-06T05:34:00,https://arynews.tv/
26,accident,Oil tanker accident,"Tanker overturned, spilling oil on the road.",Islamabad,Low,2025-04-01T18:06:00,https://www.geo.tv/
27,accident,Car into divider,Car lost control and hit the road divider at high speed.,Lahore,Critical,2025-08-12T21:28:00,https://arynews.tv/
28,accident,Bus overturned,"Passenger bus overturned, injuring multiple people.",Karachi,High,2024-09-13T12:53:00,https://arynews.tv/
29,accident,Oil tanker accident,"Tanker overturned, spilling oil on the road.",Quetta,High,2025-01-20T13:05:00,User Report (Chatbot)
30,accident,Car into divider,Car lost control and hit the road divider at high speed.,Rawalpindi,Low,2025-01-03T17:21:00,https://www.dawn.com/
31,accident,Fatal bike accident,"Bike slipped on wet road, leading to fatal injuries.",Sialkot,Critical,2024-12-01T13:13:00,User Report (Chatbot)
32,accident,Truck collision,"Truck hit a motorcycle, causing serious injuries.",Peshawar,High,2025-05-04T05:17:00,https://arynews.tv/
33,accident,Car into divider,Car lost control and hit the road divider at high speed.,Rawalpindi,Low,2025-08-24T08:24:00,https://www.dawn.com/
34,accident,Truck collision,"Truck hit a motorcycle, causing serious injuries.",Sukkur,Low,2025-02-08T08:49:00,User Report (Chatbot)
35,accident,Oil tanker accident,"Tanker overturned, spilling oil on the road.",Sialkot,High,2024-11-05T02:40:00,https://www.geo.tv/
36,accident,Truck collision,"Truck hit a motorcycle, causing serious injuries.",Gujranwala,Medium,2024-10-29T14:25:00,https://www.dawn.com/
37,accident,Hit-and-run incident,Car fled scene after hitting a motorcyclist.,Karachi,Low,2024-12-03T07:20:00,Local Traffic Police Report
38,accident,Bus overturned,"Passenger bus overturned, injuring multiple people.",Hyderabad,Medium,2025-02-14T07:15:00,https://www.dawn.com/
39,accident,Multi-vehicle pileup,Fog caused a 5-car collision on motorway.,Peshawar,High,2025-05-18T08:58:00,https://arynews.tv/
40,accident,Bus overturned,"Passenger bus overturned, injuring multiple people.",Rawalpindi,Low,2025-05-03T21:20:00,https://arynews.tv/
41,accident,Multi-vehicle pileup,Fog caused a 5-car collision on motorway.,Sukkur,Medium,2025-09-21T06:47:00,https://www.geo.tv/
42,accident,Car into divider,Car lost control and hit the road divider at high speed.,Sialkot,Medium,2025-06-14T03:26:00,https://arynews.tv/
43,accident,Van hits pedestrian,Passenger van ran over a pedestrian while crossing the road.,Sukkur,Medium,2025-05-03T23:11:00,https://www.geo.tv/
44,accident,Car into divider,Car lost control and hit the road divider at high speed.,Karachi,High,2025-07-27T09:44:00,Local Traffic Police Report
45,accident,Van hits pedestrian,Passenger van ran over a pedestrian while crossing the road.,Multan,Low,2025-02-15T23:40:00,User Report (Chatbot)
46,accident,Bus overturned,"Passenger bus overturned, injuring multiple people.",Sialkot,Low,2025-04-03T16:21:00,https://www.dawn.com/
47,accident,Multi-vehicle pileup,Fog caused a 5-car collision on motorway.,Peshawar,Medium,2025-03-25T21:09:00,Local Traffic Police Report
48,accident,Car crash on highway,Two cars collided due to overspeeding.,Sialkot,Low,2024-09-06T13:03:00,User Report (Chatbot)
49,accident,Bus overturned,"Passenger bus overturned, injuring multiple people.",Gujranwala,High,2025-01-31T00:19:00,Local Traffic Police Report
50,accident,Car into divider,Car lost control and hit the road divider at high speed.,Hyderabad,Medium,2025-08-28T07:26:00,User Report (Chatbot)
51,accident,Fatal bike accident,"Bike slipped on wet road, leading to fatal injuries.",Sialkot,High,2024-12-26T01:18:00,Local Traffic Police Report
52,accident,Truck collision,"Truck hit a motorcycle, causing serious injuries.",Sialkot,Low,2025-02-02T23:00:00,https://arynews.tv/
