id,type,title,description,location,severity,date,source
1,driver_alert,School van overloaded,Van carrying children beyond capacity spotted.,Sialkot,Low,2024-09-18T22:39:00,Community Safety App
2,driver_alert,Overspeeding bus,Passenger bus seen overspeeding on main road.,Rawalpindi,Critical,2025-04-11T05:46:00,Local Traffic Police Report
3,driver_alert,Overspeeding bus,Passenger bus seen overspeeding on main road.,Peshawar,Critical,2024-11-02T23:18:00,Community Safety App
4,driver_alert,Drunk driving suspected,Black car weaving dangerously between lanes.,Rawalpindi,Low,2025-03-02T21:34:00,User Report (Chatbot)
5,driver_alert,Overspeeding bus,Passenger bus seen overspeeding on main road.,Peshawar,Medium,2025-01-12T16:38:00,User Report (Chatbot)
6,driver_alert,Dangerous overtaking,Truck overtaking in no-overtake zone.,Faisalabad,Medium,2025-01-21T19:36:00,Local Traffic Police Report
7,driver_alert,Overspeeding bus,Passenger bus seen overspeeding on main road.,Sialkot,Medium,2024-10-25T23:52:00,Local Traffic Police Report
8,driver_alert,No seatbelt driver,Car driver caught driving without wearing a seatbelt.,Islamabad,Medium,2025-01-16T00:18:00,User Report (Chatbot)
9,driver_alert,Motorcycle without headlight,Bike speeding without headlight near Johar Town.,Quetta,Low,2025-09-23T10:06:00,User Report (Chatbot)
10,driver_alert,Motorcycle without headlight,Bike speeding without headlight near Johar Town.,Faisalabad,High,2025-07-26T11:56:00,Local Traffic Police Report
11,driver_alert,Wrong lane change,Taxi changing lanes without indicators.,Multan,Low,2025-04-14T18:18:00,Community Safety App
12,driver_alert,Reckless driver spotted,A driver in a white Corolla overspeeding and lane-cutting.,Quetta,Low,2025-04-25T01:25:00,Community Safety App
13,driver_alert,Wrong-way driver,Motorcyclist driving on the wrong side near market.,Faisalabad,Low,2024-09-29T15:51:00,Local Traffic Police Report
14,driver_alert,Motorcycle without headlight,Bike speeding without headlight near Johar Town.,Rawalpindi,Critical,2025-08-14T13:01:00,Local Traffic Police Report
15,driver_alert,School van overloaded,Van carrying children beyond capacity spotted.,Sukkur,Critical,2025-01-18T15:42:00,Local Traffic Police Report
16,driver_alert,School van overloaded,Van carrying children beyond capacity spotted.,Lahore,High,2025-08-23T07:01:00,User Report (Chatbot)
17,driver_alert,Overspeeding bus,Passenger bus seen overspeeding on main road.,Sukkur,High,2025-03-16T19:42:00,Local Traffic Police Report
18,driver_alert,Motorcycle without headlight,Bike speeding without headlight near Johar Town.,Lahore,Critical,2025-01-21T18:31:00,Community Safety App
19,driver_alert,School van overloaded,Van carrying children beyond capacity spotted.,Gujranwala,High,2025-09-16T08:50:00,Community Safety App
20,driver_alert,Mobile use while driving,Driver seen texting while driving at high speed.,Sialkot,High,2025-06-20T08:38:00,User Report (Chatbot)
21,driver_alert,Drunk driving suspected,Black car weaving dangerously between lanes.,Lahore,High,2025-06-05T00:45:00,Community Safety App
22,driver_alert,Dangerous overtaking,Truck overtaking in no-overtake zone.,Peshawar,Low,2025-03-08T20:54:00,Community Safety App
23,driver_alert,Dangerous overtaking,Truck overtaking in no-overtake zone.,Karachi,High,2025-03-08T04:14:00,Community Safety App
24,driver_alert,No seatbelt driver,Car driver caught driving without wearing a seatbelt.,Faisalabad,Medium,2024-10-04T10:07:00,User Report (Chatbot)
25,driver_alert,Drunk driving suspected,Black car weaving dangerously between lanes.,Sukkur,Critical,2025-06-16T13:36:00,Community Safety App
