category,tip_title,tip_description
Accident,Always wear seatbelts,Seatbelts reduce fatal injuries in crashes by up to 50%.
Accident,Avoid overspeeding,Maintain speed limits to avoid loss of control.
Accident,Maintain safe distance,Keep a 3-second gap from the vehicle ahead.
Accident,Check blind spots,Always check mirrors and blind spots before changing lanes.
Accident,Avoid distracted driving,Never use mobile phones while driving.
Road Condition,Slow near potholes,Drive slowly in areas with poor road conditions.
Road Condition,Report broken signals,Inform authorities if you see a non-functioning traffic light.
Road Condition,Avoid flooded roads,Do not attempt to cross flooded streets.
Road Condition,Use headlights at night,"In poorly lit roads, always use headlights."
Road Condition,Stay updated,Check road alerts before travel.
Driver Alert,Keep calm around rash drivers,"Do not engage with reckless drivers, maintain distance."
Driver Alert,Avoid wrong-way traffic,Never drive against the flow of traffic.
Driver Alert,Report reckless drivers,Note vehicle number and inform traffic police.
Driver Alert,Do not overload vehicles,Avoid carrying excess passengers or cargo.
Driver Alert,Wear helmets,Motorcyclists should always wear helmets for safety.
Weather/Emergency,Drive slow in rain,"Wet roads are slippery, reduce speed and increase distance."
Weather/Emergency,Use fog lights,"In fog, turn on fog lights and keep speed low."
Weather/Emergency,Stay hydrated in heatwave,Check tire pressure in extreme heat.
Weather/Emergency,Park safely in storms,Avoid parking under trees or poles during windstorms.
Weather/Emergency,Carry emergency kit,"First aid, torch, and fire extinguisher should always be in car."
Weather/Emergency,Regular car maintenance,"Check brakes, tyres, and engine regularly to prevent breakdowns."
Weather/Emergency,Know emergency numbers,"Keep helplines like 1122, Police 15 saved on your phone."
