id,type,title,description,location,severity,date,source
1,weather_emergency,Brake failure incident,Car lost control due to brake failure.,Karachi,Low,2024-12-08T04:42:00,https://www.dawn.com/
2,weather_emergency,Bridge collapse risk,Authorities warned about weakening flyover structure.,Gujranwala,High,2025-04-13T22:43:00,Pakistan Meteorological Dept.
3,weather_emergency,Gas cylinder blast,"Cylinder exploded inside van, causing panic.",Peshawar,High,2025-08-08T14:38:00,https://www.dawn.com/
4,weather_emergency,Fog alert,Dense fog reducing visibility on motorway.,Sialkot,Critical,2024-12-17T23:57:00,https://arynews.tv/
5,weather_emergency,Brake failure incident,Car lost control due to brake failure.,Peshawar,Critical,2025-07-01T01:08:00,Pakistan Meteorological Dept.
6,weather_emergency,Heavy rain warning,Slippery roads due to ongoing rain.,Islamabad,Low,2025-02-22T00:44:00,User Report (Chatbot)
7,weather_emergency,Strong wind alert,High winds may topple motorcycles or signboards.,Gujranwala,Critical,2025-01-14T20:37:00,https://www.dawn.com/
8,weather_emergency,Car caught fire,"Engine fire reported, rescue teams dispatched.",Sialkot,Low,2025-01-30T17:04:00,https://www.dawn.com/
9,weather_emergency,Brake failure incident,Car lost control due to brake failure.,Lahore,Medium,2025-02-23T23:37:00,https://www.dawn.com/
10,weather_emergency,Heavy rain warning,Slippery roads due to ongoing rain.,Sialkot,Low,2024-12-10T01:41:00,User Report (Chatbot)
11,weather_emergency,Hailstorm warning,Chances of hailstorm affecting traffic in city.,Rawalpindi,High,2025-08-04T04:45:00,User Report (Chatbot)
12,weather_emergency,Heatwave alert,"Extreme heat expected, risk of tire bursts.",Hyderabad,Medium,2024-12-05T03:45:00,https://www.dawn.com/
13,weather_emergency,Bridge collapse risk,Authorities warned about weakening flyover structure.,Multan,Low,2025-08-26T23:38:00,User Report (Chatbot)
14,weather_emergency,Strong wind alert,High winds may topple motorcycles or signboards.,Islamabad,Medium,2025-01-31T11:21:00,Pakistan Meteorological Dept.
15,weather_emergency,Car caught fire,"Engine fire reported, rescue teams dispatched.",Hyderabad,Low,2025-04-29T17:15:00,https://arynews.tv/
16,weather_emergency,Car caught fire,"Engine fire reported, rescue teams dispatched.",Rawalpindi,Medium,2025-04-08T13:16:00,Pakistan Meteorological Dept.
17,weather_emergency,Heatwave alert,"Extreme heat expected, risk of tire bursts.",Gujranwala,Medium,2024-11-01T23:51:00,Pakistan Meteorological Dept.
18,weather_emergency,Fog alert,Dense fog reducing visibility on motorway.,Gujranwala,Critical,2024-09-01T08:22:00,https://www.dawn.com/
19,weather_emergency,Hailstorm warning,Chances of hailstorm affecting traffic in city.,Quetta,Medium,2025-06-21T14:38:00,Pakistan Meteorological Dept.
20,weather_emergency,Bridge collapse risk,Authorities warned about weakening flyover structure.,Peshawar,High,2024-12-15T02:58:00,https://www.geo.tv/
21,weather_emergency,Heavy rain warning,Slippery roads due to ongoing rain.,Faisalabad,Medium,2024-10-26T16:46:00,https://arynews.tv/
22,weather_emergency,Bridge collapse risk,Authorities warned about weakening flyover structure.,Multan,Medium,2024-12-09T07:55:00,Pakistan Meteorological Dept.
23,weather_emergency,Gas cylinder blast,"Cylinder exploded inside van, causing panic.",Multan,Medium,2024-10-09T08:04:00,User Report (Chatbot)
24,weather_emergency,Fog alert,Dense fog reducing visibility on motorway.,Quetta,High,2024-12-12T12:31:00,User Report (Chatbot)
25,weather_emergency,Flood on road,Flash floods blocking main highway.,Sialkot,High,2025-07-29T18:20:00,https://www.geo.tv/
26,weather_emergency,Hailstorm warning,Chances of hailstorm affecting traffic in city.,Gujranwala,High,2024-12-19T06:34:00,https://www.geo.tv/
27,weather_emergency,Heatwave alert,"Extreme heat expected, risk of tire bursts.",Faisalabad,Critical,2025-07-09T00:27:00,User Report (Chatbot)
28,weather_emergency,Heavy rain warning,Slippery roads due to ongoing rain.,Lahore,Medium,2024-12-31T14:48:00,https://arynews.tv/
29,weather_emergency,Car caught fire,"Engine fire reported, rescue teams dispatched.",Quetta,High,2024-10-11T19:44:00,User Report (Chatbot)
30,weather_emergency,Flood on road,Flash floods blocking main highway.,Sukkur,Medium,2024-10-05T22:41:00,https://www.dawn.com/
31,weather_emergency,Flood on road,Flash floods blocking main highway.,Islamabad,Low,2025-05-18T19:51:00,https://www.geo.tv/
32,weather_emergency,Heavy rain warning,Slippery roads due to ongoing rain.,Sialkot,Medium,2025-01-29T04:56:00,Pakistan Meteorological Dept.
33,weather_emergency,Heavy rain warning,Slippery roads due to ongoing rain.,Gujranwala,Low,2025-03-16T02:41:00,https://arynews.tv/
34,weather_emergency,Hailstorm warning,Chances of hailstorm affecting traffic in city.,Gujranwala,Critical,2025-09-15T05:16:00,User Report (Chatbot)
35,weather_emergency,Flood on road,Flash floods blocking main highway.,Hyderabad,Low,2025-09-15T09:32:00,User Report (Chatbot)
36,weather_emergency,Strong wind alert,High winds may topple motorcycles or signboards.,Sialkot,Low,2024-12-15T20:14:00,User Report (Chatbot)
37,weather_emergency,Fog alert,Dense fog reducing visibility on motorway.,Rawalpindi,Medium,2024-11-30T03:54:00,https://www.dawn.com/
38,weather_emergency,Fog alert,Dense fog reducing visibility on motorway.,Hyderabad,Low,2024-12-17T02:57:00,https://www.dawn.com/
39,weather_emergency,Heavy rain warning,Slippery roads due to ongoing rain.,Multan,Medium,2025-05-12T14:36:00,User Report (Chatbot)
40,weather_emergency,Gas cylinder blast,"Cylinder exploded inside van, causing panic.",Sialkot,Critical,2025-01-15T15:32:00,Pakistan Meteorological Dept.
41,weather_emergency,Heavy rain warning,Slippery roads due to ongoing rain.,Rawalpindi,High,2024-12-30T17:17:00,https://www.dawn.com/
42,weather_emergency,Flood on road,Flash floods blocking main highway.,Faisalabad,Medium,2025-07-15T17:54:00,User Report (Chatbot)
43,weather_emergency,Heatwave alert,"Extreme heat expected, risk of tire bursts.",Sukkur,Low,2025-03-24T02:44:00,https://www.dawn.com/
44,weather_emergency,Gas cylinder blast,"Cylinder exploded inside van, causing panic.",Lahore,Low,2024-11-04T10:55:00,https://www.dawn.com/
45,weather_emergency,Hailstorm warning,Chances of hailstorm affecting traffic in city.,Gujranwala,Low,2025-08-15T00:25:00,Pakistan Meteorological Dept.
46,weather_emergency,Flood on road,Flash floods blocking main highway.,Multan,Low,2025-02-19T02:41:00,https://www.geo.tv/
47,weather_emergency,Hailstorm warning,Chances of hailstorm affecting traffic in city.,Sialkot,Low,2024-09-30T10:22:00,https://arynews.tv/
48,weather_emergency,Gas cylinder blast,"Cylinder exploded inside van, causing panic.",Gujranwala,Medium,2025-03-31T19:38:00,User Report (Chatbot)
49,weather_emergency,Gas cylinder blast,"Cylinder exploded inside van, causing panic.",Lahore,High,2025-05-31T10:47:00,Pakistan Meteorological Dept.
50,weather_emergency,Heatwave alert,"Extreme heat expected, risk of tire bursts.",Karachi,Critical,2025-07-17T03:15:00,Pakistan Meteorological Dept.
51,weather_emergency,Heatwave alert,"Extreme heat expected, risk of tire bursts.",Gujranwala,Medium,2024-09-13T10:11:00,https://arynews.tv/
52,weather_emergency,Flood on road,Flash floods blocking main highway.,Hyderabad,Low,2025-02-18T04:26:00,https://arynews.tv/
53,weather_emergency,Car caught fire,"Engine fire reported, rescue teams dispatched.",Quetta,Low,2025-08-04T21:27:00,Pakistan Meteorological Dept.
54,weather_emergency,Flood on road,Flash floods blocking main highway.,Sialkot,Critical,2025-02-08T06:56:00,https://www.dawn.com/
55,weather_emergency,Flood on road,Flash floods blocking main highway.,Sialkot,Critical,2025-06-20T02:02:00,Pakistan Meteorological Dept.
56,weather_emergency,Heatwave alert,"Extreme heat expected, risk of tire bursts.",Rawalpindi,Medium,2024-11-10T23:41:00,https://www.geo.tv/
57,weather_emergency,Fog alert,Dense fog reducing visibility on motorway.,Islamabad,Medium,2025-01-26T13:44:00,User Report (Chatbot)
58,weather_emergency,Bridge collapse risk,Authorities warned about weakening flyover structure.,Hyderabad,Critical,2025-01-16T15:39:00,User Report (Chatbot)
59,weather_emergency,Heatwave alert,"Extreme heat expected, risk of tire bursts.",Multan,High,2025-03-04T06:23:00,https://arynews.tv/
60,weather_emergency,Car caught fire,"Engine fire reported, rescue teams dispatched.",Multan,High,2025-01-17T00:28:00,User Report (Chatbot)
61,weather_emergency,Flood on road,Flash floods blocking main highway.,Multan,High,2025-05-29T11:07:00,https://arynews.tv/
62,weather_emergency,Gas cylinder blast,"Cylinder exploded inside van, causing panic.",Sukkur,Critical,2025-02-18T16:25:00,Pakistan Meteorological Dept.
63,weather_emergency,Car caught fire,"Engine fire reported, rescue teams dispatched.",Quetta,Low,2025-04-15T20:46:00,https://arynews.tv/
64,weather_emergency,Fog alert,Dense fog reducing visibility on motorway.,Peshawar,Low,2025-06-22T23:31:00,User Report (Chatbot)
65,weather_emergency,Heatwave alert,"Extreme heat expected, risk of tire bursts.",Gujranwala,Critical,2025-02-14T15:19:00,User Report (Chatbot)
66,weather_emergency,Brake failure incident,Car lost control due to brake failure.,Peshawar,Medium,2024-11-22T07:20:00,https://www.dawn.com/
67,weather_emergency,Gas cylinder blast,"Cylinder exploded inside van, causing panic.",Rawalpindi,Low,2024-09-04T12:01:00,User Report (Chatbot)
68,weather_emergency,Bridge collapse risk,Authorities warned about weakening flyover structure.,Gujranwala,High,2025-09-23T06:12:00,Pakistan Meteorological Dept.
69,weather_emergency,Strong wind alert,High winds may topple motorcycles or signboards.,Faisalabad,Medium,2025-03-01T23:49:00,https://www.dawn.com/
70,weather_emergency,Gas cylinder blast,"Cylinder exploded inside van, causing panic.",Hyderabad,Low,2025-03-22T16:50:00,Pakistan Meteorological Dept.
