service,phone_number,when_to_contact,notes
Police,15,"For accidents, crimes, rash drivers, road disputes","Traffic & local police, available nationwide"
Traffic Police (Lahore),1915,"For traffic accidents, road issues, and reckless drivers in Lahore",Lahore Traffic Police Helpline
Traffic Police (Karachi),1915,For traffic accidents and reckless drivers in Karachi,Karachi Traffic Police Helpline
Rescue 1122,1122,"For accidents, fire, medical emergencies","Ambulance, Fire & Rescue services across Punjab & major cities"
Edhi Ambulance,115,For ambulance services in any city,Edhi Foundation – ambulance and welfare services
Chhipa Ambulance,1020,For ambulance in Karachi,Chhipa Welfare Association
Saylani Ambulance,021-111-729-526,For ambulance services in Sindh,Saylani Welfare International Trust
Aman Foundation Ambulance,021-111-111-823,Emergency ambulance in Karachi,Aman Health Care Services
Motorway Police,130,"For breakdowns, accidents, or rash driving on motorways",National Highways & Motorway Police
Highway Police,130,For national highway accidents and emergencies,Highway patrol helpline
Fire Brigade,16,In case of fire or explosions,Local fire emergency helpline
Mayo Hospital Emergency,042-99211111,For immediate medical treatment in Lahore,Mayo Hospital Lahore emergency dept.
Jinnah Hospital Emergency,021-99201300,For urgent medical help in Karachi,"Jinnah Postgraduate Medical Centre, Karachi"
PIMS Hospital Emergency,051-9261170,For emergencies in Islamabad,"Pakistan Institute of Medical Sciences, Islamabad"
Electricity Emergency,118,"For power failure, broken electric poles, or sparks",WAPDA / local electricity helpline
Gas Emergency (SSGC),1199,For gas leakage or explosions in Sindh/Balochistan,Sui Southern Gas helpline
Gas Emergency (SNGPL),1199,For gas leakage or explosions in Punjab/KPK,Sui Northern Gas helpline
PTCL Emergency,1217,For dead landline or network issues,PTCL helpline for phone/internet
Mechanic,0300-1234567,When car breaks down or won’t start,24/7 roadside mechanic (example number)
Fuel Delivery,0312-9876543,If vehicle runs out of fuel on road,Emergency fuel service (example number)
Towing Service,0345-2223344,If car cannot move after breakdown or accident,"Private towing service, Lahore"
Tyre Shop Helpline,0333-4445566,For flat tyres or punctures,24/7 tyre puncture repair in Karachi
Pakistan Red Crescent,051-9250404,"For disaster response, first aid, and emergency relief",Red Crescent Society of Pakistan
Al-Khidmat Foundation,042-35945413,For ambulance and disaster relief support,Al-Khidmat Welfare Trust
JDC Foundation,021-111-111-539,For free ambulance and disaster help,JDC Welfare Organization
Ansar Burney Trust,021-32623347,For human rights emergencies or rescue,Ansar Burney Trust International
Indus Hospital Helpline,021-111-111-880,For free emergency medical treatment,Indus Hospital Karachi
