id,intent,text,entities
1,report_incident,براہ کرم لاہور کے لیبرٹی کے قریب حادثہ رپورٹ کریں,{}
2,report_incident,براہ کرم لاہور کے سدھر بازار کے قریب گڑھا رپورٹ کریں,{}
3,report_incident,براہ کرم راولپنڈی کے لیبرٹی کے قریب شرابی ڈرائیور رپورٹ کریں,{}
4,report_incident,براہ کرم راولپنڈی کے کلمہ چوک کے قریب سگنل خراب رپورٹ کریں,{}
5,report_incident,براہ کرم کراچی کے جوہر ٹاؤن کے قریب شرابی ڈرائیور رپورٹ کریں,{}
6,report_incident,براہ کرم ملتان کے سدھر بازار کے قریب تیز ہوائیں رپورٹ کریں,{}
7,report_incident,براہ کرم فیصل آباد کے کانال روڈ کے قریب بریک فیل رپورٹ کریں,{}
8,report_incident,براہ کرم کراچی کے نشتر ٹاؤن کے قریب تیز ہوائیں رپورٹ کریں,{}
9,report_incident,براہ کرم ملتان کے نشتر ٹاؤن کے قریب خطرناک ڈرائیونگ رپورٹ کریں,{}
10,report_incident,براہ کرم کراچی کے جوہر ٹاؤن کے قریب شرابی ڈرائیور رپورٹ کریں,{}
11,report_incident,براہ کرم ملتان کے نشتر ٹاؤن کے قریب حادثہ رپورٹ کریں,{}
12,report_incident,براہ کرم کراچی کے کانال روڈ کے قریب گڑھا رپورٹ کریں,{}
13,report_incident,براہ کرم لاہور کے جوہر ٹاؤن کے قریب روشنی کم رپورٹ کریں,{}
14,report_incident,براہ کرم اسلام آباد کے لیبرٹی کے قریب سیلاب زدہ سڑک رپورٹ کریں,{}
15,report_incident,براہ کرم لاہور کے نشتر ٹاؤن کے قریب روشنی کم رپورٹ کریں,{}
16,report_incident,براہ کرم اسلام آباد کے کانال روڈ کے قریب شرابی ڈرائیور رپورٹ کریں,{}
17,report_incident,براہ کرم راولپنڈی کے سدھر بازار کے قریب تیز ہوائیں رپورٹ کریں,{}
18,report_incident,براہ کرم کراچی کے سدھر بازار کے قریب حادثہ رپورٹ کریں,{}
19,report_incident,براہ کرم اسلام آباد کے جوہر ٹاؤن کے قریب ہیڈلائٹ بغیر موٹر سائیکل رپورٹ کریں,{}
20,report_incident,براہ کرم راولپنڈی کے کلمہ چوک کے قریب گڑھا رپورٹ کریں,{}
21,report_incident,براہ کرم ملتان کے سدھر بازار کے قریب گاڑی میں آگ رپورٹ کریں,{}
22,report_incident,براہ کرم فیصل آباد کے نشتر ٹاؤن کے قریب روشنی کم رپورٹ کریں,{}
23,report_incident,براہ کرم کراچی کے جوہر ٹاؤن کے قریب الٹی سمت ڈرائیونگ رپورٹ کریں,{}
24,report_incident,براہ کرم ملتان کے کلمہ چوک کے قریب سگنل خراب رپورٹ کریں,{}
25,report_incident,براہ کرم اسلام آباد کے لیبرٹی کے قریب خطرناک ڈرائیونگ رپورٹ کریں,{}
26,report_incident,براہ کرم ملتان کے کلمہ چوک کے قریب حادثہ رپورٹ کریں,{}
27,report_incident,براہ کرم کراچی کے کانال روڈ کے قریب گاڑی میں آگ رپورٹ کریں,{}
28,report_incident,براہ کرم لاہور کے نشتر ٹاؤن کے قریب شرابی ڈرائیور رپورٹ کریں,{}
29,report_incident,براہ کرم فیصل آباد کے نشتر ٹاؤن کے قریب شرابی ڈرائیور رپورٹ کریں,{}
30,report_incident,براہ کرم لاہور کے جوہر ٹاؤن کے قریب گڑھا رپورٹ کریں,{}
31,report_incident,براہ کرم فیصل آباد کے جوہر ٹاؤن کے قریب گاڑی میں آگ رپورٹ کریں,{}
32,report_incident,براہ کرم فیصل آباد کے لیبرٹی کے قریب سگنل خراب رپورٹ کریں,{}
33,report_incident,براہ کرم فیصل آباد کے لیبرٹی کے قریب ژالہ باری رپورٹ کریں,{}
34,report_incident,براہ کرم راولپنڈی کے کانال روڈ کے قریب الٹی سمت ڈرائیونگ رپورٹ کریں,{}
35,report_incident,براہ کرم راولپنڈی کے جوہر ٹاؤن کے قریب سیلاب زدہ سڑک رپورٹ کریں,{}
36,report_incident,براہ کرم ملتان کے نشتر ٹاؤن کے قریب سگنل خراب رپورٹ کریں,{}
37,report_incident,براہ کرم کراچی کے نشتر ٹاؤن کے قریب گاڑی میں آگ رپورٹ کریں,{}
38,report_incident,براہ کرم فیصل آباد کے کانال روڈ کے قریب الٹی سمت ڈرائیونگ رپورٹ کریں,{}
39,report_incident,براہ کرم لاہور کے کانال روڈ کے قریب گاڑی میں آگ رپورٹ کریں,{}
40,report_incident,براہ کرم راولپنڈی کے جوہر ٹاؤن کے قریب سگنل خراب رپورٹ کریں,{}
41,report_incident,براہ کرم راولپنڈی کے نشتر ٹاؤن کے قریب روشنی کم رپورٹ کریں,{}
42,report_incident,براہ کرم اسلام آباد کے نشتر ٹاؤن کے قریب بریک فیل رپورٹ کریں,{}
43,report_incident,براہ کرم راولپنڈی کے نشتر ٹاؤن کے قریب شرابی ڈرائیور رپورٹ کریں,{}
44,report_incident,براہ کرم اسلام آباد کے کلمہ چوک کے قریب ہیڈلائٹ بغیر موٹر سائیکل رپورٹ کریں,{}
45,report_incident,براہ کرم فیصل آباد کے سدھر بازار کے قریب روشنی کم رپورٹ کریں,{}
46,report_incident,براہ کرم ملتان کے جوہر ٹاؤن کے قریب تیز ہوائیں رپورٹ کریں,{}
47,report_incident,براہ کرم فیصل آباد کے سدھر بازار کے قریب ہیڈلائٹ بغیر موٹر سائیکل رپورٹ کریں,{}
48,report_incident,براہ کرم اسلام آباد کے کلمہ چوک کے قریب تیز ہوائیں رپورٹ کریں,{}
49,report_incident,براہ کرم اسلام آباد کے نشتر ٹاؤن کے قریب دھند رپورٹ کریں,{}
50,report_incident,براہ کرم کراچی کے کلمہ چوک کے قریب روشنی کم رپورٹ کریں,{}
51,report_incident,براہ کرم اسلام آباد کے نشتر ٹاؤن کے قریب الٹی سمت ڈرائیونگ رپورٹ کریں,{}
52,report_incident,براہ کرم کراچی کے کلمہ چوک کے قریب گاڑی میں آگ رپورٹ کریں,{}
53,report_incident,براہ کرم کراچی کے کانال روڈ کے قریب ہیڈلائٹ بغیر موٹر سائیکل رپورٹ کریں,{}
54,report_incident,براہ کرم لاہور کے کانال روڈ کے قریب سیلاب زدہ سڑک رپورٹ کریں,{}
55,report_incident,براہ کرم لاہور کے کلمہ چوک کے قریب شرابی ڈرائیور رپورٹ کریں,{}
56,report_incident,براہ کرم کراچی کے کانال روڈ کے قریب روشنی کم رپورٹ کریں,{}
57,report_incident,براہ کرم راولپنڈی کے کلمہ چوک کے قریب سیلاب زدہ سڑک رپورٹ کریں,{}
58,report_incident,براہ کرم اسلام آباد کے نشتر ٹاؤن کے قریب گڑھا رپورٹ کریں,{}
59,report_incident,براہ کرم اسلام آباد کے سدھر بازار کے قریب ژالہ باری رپورٹ کریں,{}
60,report_incident,براہ کرم کراچی کے سدھر بازار کے قریب روشنی کم رپورٹ کریں,{}
61,report_incident,براہ کرم راولپنڈی کے سدھر بازار کے قریب حادثہ رپورٹ کریں,{}
62,report_incident,براہ کرم راولپنڈی کے نشتر ٹاؤن کے قریب سیلاب زدہ سڑک رپورٹ کریں,{}
63,report_incident,براہ کرم لاہور کے کانال روڈ کے قریب اسپیڈ بریکر خراب رپورٹ کریں,{}
64,report_incident,براہ کرم کراچی کے جوہر ٹاؤن کے قریب ہیڈلائٹ بغیر موٹر سائیکل رپورٹ کریں,{}
65,report_incident,براہ کرم ملتان کے سدھر بازار کے قریب تیز ہوائیں رپورٹ کریں,{}
66,report_incident,براہ کرم فیصل آباد کے کلمہ چوک کے قریب بریک فیل رپورٹ کریں,{}
67,report_incident,براہ کرم راولپنڈی کے جوہر ٹاؤن کے قریب سیلاب زدہ سڑک رپورٹ کریں,{}
68,report_incident,براہ کرم لاہور کے کلمہ چوک کے قریب سیلاب زدہ سڑک رپورٹ کریں,{}
69,report_incident,براہ کرم فیصل آباد کے کانال روڈ کے قریب روشنی کم رپورٹ کریں,{}
70,report_incident,براہ کرم فیصل آباد کے کلمہ چوک کے قریب بریک فیل رپورٹ کریں,{}
71,report_incident,میں نے راولپنڈی میں سدھر بازار کے پاس دھند دیکھا ہے,{}
72,report_incident,میں نے کراچی میں سدھر بازار کے پاس گاڑی میں آگ دیکھا ہے,{}
73,report_incident,میں نے کراچی میں لیبرٹی کے پاس خطرناک ڈرائیونگ دیکھا ہے,{}
74,report_incident,میں نے ملتان میں کانال روڈ کے پاس بارش دیکھا ہے,{}
75,report_incident,میں نے لاہور میں نشتر ٹاؤن کے پاس ژالہ باری دیکھا ہے,{}
76,report_incident,میں نے کراچی میں کلمہ چوک کے پاس گڑھا دیکھا ہے,{}
77,report_incident,میں نے کراچی میں نشتر ٹاؤن کے پاس ہیڈلائٹ بغیر موٹر سائیکل دیکھا ہے,{}
78,report_incident,میں نے کراچی میں سدھر بازار کے پاس گاڑی میں آگ دیکھا ہے,{}
79,report_incident,میں نے کراچی میں کانال روڈ کے پاس تیز ہوائیں دیکھا ہے,{}
80,report_incident,میں نے اسلام آباد میں جوہر ٹاؤن کے پاس گاڑی میں آگ دیکھا ہے,{}
81,report_incident,میں نے ملتان میں نشتر ٹاؤن کے پاس سیلاب زدہ سڑک دیکھا ہے,{}
82,report_incident,میں نے اسلام آباد میں لیبرٹی کے پاس سگنل خراب دیکھا ہے,{}
83,report_incident,میں نے فیصل آباد میں لیبرٹی کے پاس سیلاب زدہ سڑک دیکھا ہے,{}
84,report_incident,میں نے اسلام آباد میں جوہر ٹاؤن کے پاس شرابی ڈرائیور دیکھا ہے,{}
85,report_incident,میں نے کراچی میں کانال روڈ کے پاس گاڑی میں آگ دیکھا ہے,{}
86,report_incident,میں نے ملتان میں نشتر ٹاؤن کے پاس دھند دیکھا ہے,{}
