id,intent,text,entities
1,ood_negative,gym membership info,{}
2,ood_negative,university admission info,{}
3,ood_negative,issue with crypto trading,{}
4,ood_negative,fashion discount ka process? 😅,{}
5,ood_negative,mujhe whatsapp not opening chahiye abhi,{}
6,ood_negative,doctor appointment booking problem help?,{}
7,ood_negative,board roll number info,{}
8,ood_negative,how to bake cake ka process? plz,{}
9,ood_negative,passport office kidhar hota yr,{}
10,ood_negative,how to gym membership,{}
11,ood_negative,token tax kahan milega,{}
12,ood_negative,stock market tips info,{}
13,ood_negative,PTCL bill issue problem,{}
14,ood_negative,mujhe mobile overheating chahiye,{}
15,ood_negative,housing society dues kidhar hota,{}
16,ood_negative,how to instagram hacked,{}
17,ood_negative,issue with housing society dues 🤦,{}
18,ood_negative,job application help,{}
19,ood_negative,mujhe wifi not working chahiye 😅,{}
20,ood_negative,travel visa info,{}
21,ood_negative,issue with whatsapp not opening,{}
22,ood_negative,kya election results yahan hota,{}
23,ood_negative,wedding hall booking ka process? abhi,{}
24,ood_negative,kya housing society dues yahan hota,{}
25,ood_negative,mujhe scholarship apply chahiye 😅,{}
26,ood_negative,car resale value problem,{}
27,ood_negative,electricity new connection cost? please,{}
28,ood_negative,bikes price list ka kya scene hai 🤦,{}
29,ood_negative,housing society dues office timing 🤦,{}
30,ood_negative,restaurant booking help,{}
31,ood_negative,board roll number problem,{}
32,ood_negative,mujhe crypto trading chahiye,{}
33,ood_negative,gas bill correction info,{}
34,ood_negative,fashion discount help,{}
35,ood_negative,issue with school fee,{}
36,ood_negative,binance account ka process? abhi,{}
37,ood_negative,bikes price list ka process? 😅,{}
38,ood_negative,issue with university admission 😅,{}
39,ood_negative,kya electricity new connection yahan hota urgent,{}
40,ood_negative,generator maintenance office timing,{}
41,ood_negative,mujhe bikes price list chahiye yr,{}
42,ood_negative,food delivery complaint kidhar hota,{}
43,ood_negative,kya marksheet yahan hota,{}
44,ood_negative,university fee challan ka kya scene hai urgent,{}
45,ood_negative,issue with crypto trading ???,{}
46,ood_negative,issue with job application,{}
47,ood_negative,train timing office timing abhi,{}
48,ood_negative,kya wifi not working yahan hota,{}
49,ood_negative,gas bill correction kahan milega,{}
50,ood_negative,car resale value kahan milega,{}
51,ood_negative,how to gas bill correction,{}
52,ood_negative,mujhe facebook password reset chahiye,{}
53,ood_negative,wifi not working cost? 🤦,{}
54,ood_negative,excise tax help bhai,{}
55,ood_negative,online shopping refund ka process? please,{}
56,ood_negative,issue with how to bake cake plz,{}
57,ood_negative,school fee cost? jaldi,{}
58,ood_negative,wedding hall booking info,{}
59,ood_negative,issue with whatsapp not opening help?,{}
60,ood_negative,jazz cash transfer info,{}
61,ood_negative,how to whatsapp not opening,{}
62,ood_negative,doctor appointment booking help,{}
63,ood_negative,bikes price list problem urgent,{}
64,ood_negative,kya vehicle registration yahan hota plz,{}
65,ood_negative,cooking recipe kahan milega ???,{}
66,ood_negative,pharmacy delivery info,{}
67,ood_negative,housing society dues help ???,{}
68,ood_negative,passport office ka process? plz,{}
69,ood_negative,kya haircut appointment yahan hota 😅,{}
70,ood_negative,electricity new connection kidhar hota,{}
71,ood_negative,sim biometric problem abhi,{}
72,ood_negative,university fee challan ka process? help?,{}
73,ood_negative,vehicle registration problem yr,{}
74,ood_negative,weather tomorrow in paris kidhar hota bhai,{}
75,ood_negative,kya travel visa yahan hota,{}
76,ood_negative,car resale value info,{}
77,ood_negative,token tax info help?,{}
78,ood_negative,how to washing machine repair,{}
79,ood_negative,mujhe sports match score chahiye ???,{}
80,ood_negative,movie tickets kidhar hota,{}
81,ood_negative,mujhe wedding hall booking chahiye urgent,{}
82,ood_negative,mujhe jazz cash transfer chahiye,{}
