incident_key,primary_service,notes
accident,Rescue 1122,If injuries or fire risk; otherwise Police 15 for reporting
accident_pileup,Rescue 1122,Mass casualty event; also Motorway Police 130 on highways
hit_and_run,Police,Report immediately with vehicle details; 1122 if injuries
pedestrian_accident,Rescue 1122,Priority medical aid; Police for report
school_bus_accident,Rescue 1122,Ambulance coordination; alert Police & Traffic Police
pothole,Traffic Police,Report for barricading; city authority for repairs
broken_signal,Traffic Police,Temporary control; notify city traffic management
poor_lighting,Traffic Police,Log complaint to city authority; drive cautiously
flooded_road,Rescue 1122,If stranded; Traffic Police for diversions
damaged_speed_breaker,Traffic Police,Hazard reporting; city authority repair
rash_driver,Police,Share plate/landmark; keep distance
wrong_way_driver,Police,Urgent report to prevent head-on collisions
drunk_driver,Police,Immediate hazard; give location & plate
overloaded_van,Traffic Police,Public transport enforcement
no_headlight_bike,Traffic Police,Road safety violation reporting
heavy_rain,Motorway Police,Highways; city: Traffic Police for diversions
fog,Motorway Police,Advisories & closures on highways
heatwave,—,No emergency line unless breakdown/medical (1122)
hailstorm,—,Seek shelter; call 1122 if damage/injury
strong_winds,—,Call 1122 if accidents or fallen poles/trees
car_fire,Rescue 1122,Fire/ambulance dispatch; keep safe distance
brake_failure,Rescue 1122,If crash/blocked; Towing service if safe
flood_on_road,Rescue 1122,If stranded; Motorway Police on highways
gas_cylinder_blast,Rescue 1122,Fire & medical
bridge_collapse_risk,Police,Barricading & civil authority notice
flat_tyre,Mechanic,"If unsafe spot, request towing; tyre shop"
dead_battery,Mechanic,Jump-start service
overheated_engine,Mechanic,Tow if not cooling
headlight_failure,Mechanic,Avoid night driving until fixed
out_of_fuel,Fuel Delivery,Or towing if service unavailable
stuck_vehicle,Towing Service,"If blocking lane, also Traffic Police"
