id,type,title,description,location,severity,date,source
1,road_condition,Potholes on M-2 motorway,"Frequent potholes reported on the M-2 motorway, causing risk to vehicles and damage to tyres.",Lahore / Rawalpindi,Medium,2025-09-24T10:00:00,https://www.dawn.com/news/1944277
2,road_condition,Citizens demand repair of rain-damaged roads,Potholes developed on New Lahore Road and link roads; family on motorcycle injured.,Lahore / Narowal,Medium,2025-09-08T12:00:00,https://www.dawn.com/news/1940316
3,road_condition,Pothole appeared in Johar Town,"Sudden pothole formation in Johar Town road, creating danger for passing vehicles.",Lahore,Low,2024-09-30T16:20:00,https://english.aaj.tv/news/330381903
4,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Multan,Low,2024-11-08T08:08:00,Local Traffic Police Report
5,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Islamabad,Medium,2025-02-26T08:44:00,https://arynews.tv/
6,road_condition,Potholes on main road,Several potholes reported on the central road.,Quetta,High,2024-11-22T08:37:00,Local Traffic Police Report
7,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Faisalabad,Medium,2025-05-01T03:40:00,https://www.dawn.com/
8,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Sukkur,High,2025-09-21T02:34:00,Local Traffic Police Report
9,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Peshawar,Critical,2024-10-10T17:39:00,User Report (Chatbot)
10,road_condition,Potholes on main road,Several potholes reported on the central road.,Sukkur,Critical,2025-05-10T01:40:00,User Report (Chatbot)
11,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Quetta,Medium,2024-09-10T15:09:00,https://www.dawn.com/
12,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Karachi,Medium,2024-10-10T03:35:00,User Report (Chatbot)
13,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Sukkur,Low,2025-03-12T09:33:00,Local Traffic Police Report
14,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Gujranwala,Critical,2024-10-10T20:21:00,https://arynews.tv/
15,road_condition,Potholes on main road,Several potholes reported on the central road.,Multan,Low,2024-10-23T21:09:00,https://arynews.tv/
16,road_condition,Potholes on main road,Several potholes reported on the central road.,Lahore,High,2025-02-17T03:31:00,Local Traffic Police Report
17,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Quetta,Low,2025-01-28T10:29:00,https://www.geo.tv/
18,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Lahore,Critical,2025-05-14T04:20:00,User Report (Chatbot)
19,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Karachi,Critical,2025-07-09T05:34:00,Local Traffic Police Report
20,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Gujranwala,High,2025-02-12T04:25:00,https://arynews.tv/
21,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Peshawar,Low,2025-07-17T05:58:00,User Report (Chatbot)
22,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Faisalabad,Critical,2025-03-08T20:55:00,https://www.geo.tv/
23,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Sialkot,High,2025-08-29T03:42:00,https://www.dawn.com/
24,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Peshawar,Medium,2025-04-10T13:53:00,Local Traffic Police Report
25,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Karachi,Medium,2025-01-13T02:33:00,https://www.dawn.com/
26,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Multan,Critical,2025-04-11T05:20:00,https://www.geo.tv/
27,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Rawalpindi,Critical,2025-08-26T03:28:00,Local Traffic Police Report
28,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Sialkot,Medium,2025-02-24T16:42:00,https://www.geo.tv/
29,road_condition,Potholes on main road,Several potholes reported on the central road.,Faisalabad,Critical,2025-02-14T03:46:00,https://www.geo.tv/
30,road_condition,Potholes on main road,Several potholes reported on the central road.,Sialkot,Low,2025-08-22T01:01:00,Local Traffic Police Report
31,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Karachi,High,2025-07-19T14:40:00,Local Traffic Police Report
32,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Hyderabad,High,2024-12-29T11:07:00,https://www.dawn.com/
33,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Gujranwala,Critical,2024-12-07T18:04:00,Local Traffic Police Report
34,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Islamabad,Critical,2025-07-05T00:51:00,Local Traffic Police Report
35,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Sialkot,Low,2025-05-28T10:05:00,User Report (Chatbot)
36,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Karachi,Medium,2025-07-27T09:50:00,https://arynews.tv/
37,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Gujranwala,High,2025-09-03T05:07:00,https://arynews.tv/
38,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Sukkur,Critical,2025-07-29T07:31:00,User Report (Chatbot)
39,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Karachi,Low,2024-11-07T19:29:00,https://www.geo.tv/
40,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Karachi,Low,2024-11-09T02:27:00,https://arynews.tv/
41,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Sukkur,Medium,2025-04-11T09:54:00,https://www.dawn.com/
42,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Islamabad,Medium,2025-04-27T20:52:00,https://arynews.tv/
43,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Sukkur,Low,2024-09-30T17:26:00,https://www.dawn.com/
44,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Rawalpindi,Medium,2025-04-15T04:27:00,https://www.geo.tv/
45,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Hyderabad,High,2025-08-09T02:18:00,https://arynews.tv/
46,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Peshawar,Medium,2025-09-19T21:56:00,https://www.geo.tv/
47,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Faisalabad,High,2025-03-13T04:23:00,https://arynews.tv/
48,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Islamabad,Low,2025-06-23T17:33:00,https://arynews.tv/
49,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Sukkur,Low,2025-07-16T11:17:00,https://arynews.tv/
50,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Lahore,Low,2025-03-22T11:32:00,https://arynews.tv/
51,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Islamabad,Low,2025-06-05T10:21:00,https://www.dawn.com/
52,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Multan,Low,2025-03-19T18:37:00,User Report (Chatbot)
53,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Quetta,Medium,2025-02-12T11:53:00,https://arynews.tv/
54,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Islamabad,Medium,2025-05-16T04:22:00,https://arynews.tv/
55,road_condition,Potholes on main road,Several potholes reported on the central road.,Faisalabad,Low,2024-11-09T23:58:00,https://arynews.tv/
56,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Multan,High,2025-07-24T19:23:00,User Report (Chatbot)
57,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Hyderabad,High,2025-09-12T21:20:00,User Report (Chatbot)
58,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Peshawar,Medium,2025-09-14T20:16:00,https://arynews.tv/
59,road_condition,Potholes on main road,Several potholes reported on the central road.,Gujranwala,Critical,2025-04-22T05:38:00,Local Traffic Police Report
60,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Faisalabad,Medium,2024-10-11T08:10:00,Local Traffic Police Report
61,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Hyderabad,Critical,2025-03-07T09:15:00,https://www.geo.tv/
62,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Multan,Medium,2024-10-15T07:34:00,https://www.dawn.com/
63,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Islamabad,Medium,2024-12-14T01:59:00,Local Traffic Police Report
64,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Quetta,Medium,2025-05-01T22:54:00,https://www.geo.tv/
65,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Sialkot,Medium,2025-01-13T00:38:00,https://www.geo.tv/
66,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Karachi,Low,2025-02-15T15:53:00,Local Traffic Police Report
67,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Faisalabad,Critical,2025-07-20T19:53:00,Local Traffic Police Report
68,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Quetta,Low,2025-02-03T03:28:00,Local Traffic Police Report
69,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Multan,Low,2025-06-08T19:11:00,https://arynews.tv/
70,road_condition,Potholes on main road,Several potholes reported on the central road.,Lahore,Low,2025-06-16T19:29:00,Local Traffic Police Report
71,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Rawalpindi,High,2024-10-12T17:43:00,https://www.geo.tv/
72,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Hyderabad,Critical,2025-03-01T12:22:00,https://www.geo.tv/
73,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Faisalabad,Medium,2025-03-05T05:25:00,https://www.dawn.com/
74,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Sukkur,Medium,2025-09-25T03:57:00,Local Traffic Police Report
75,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Hyderabad,Medium,2025-05-22T21:38:00,https://arynews.tv/
76,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Sukkur,Critical,2024-11-10T03:12:00,https://www.dawn.com/
77,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Sukkur,High,2025-03-18T08:05:00,https://www.geo.tv/
78,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Peshawar,Medium,2024-10-11T22:32:00,https://www.dawn.com/
79,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Faisalabad,High,2025-06-11T01:08:00,User Report (Chatbot)
80,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Faisalabad,Critical,2024-12-28T03:12:00,https://arynews.tv/
81,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Sukkur,Low,2024-10-15T04:44:00,User Report (Chatbot)
82,road_condition,Potholes on main road,Several potholes reported on the central road.,Quetta,Low,2025-05-21T17:56:00,https://arynews.tv/
83,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Multan,Critical,2025-04-02T11:44:00,Local Traffic Police Report
84,road_condition,Potholes on main road,Several potholes reported on the central road.,Karachi,Low,2025-09-07T00:09:00,User Report (Chatbot)
85,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Hyderabad,Critical,2024-11-14T07:47:00,https://www.geo.tv/
86,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Sialkot,Low,2025-01-06T13:41:00,https://www.geo.tv/
87,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Islamabad,High,2025-07-07T22:39:00,Local Traffic Police Report
88,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Multan,Medium,2025-04-19T16:56:00,User Report (Chatbot)
89,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Quetta,Medium,2025-01-29T00:58:00,Local Traffic Police Report
90,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Faisalabad,Medium,2025-05-17T13:49:00,https://arynews.tv/
91,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Islamabad,Critical,2024-12-03T15:33:00,https://www.geo.tv/
92,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Hyderabad,Medium,2024-12-24T00:07:00,https://www.dawn.com/
93,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Multan,Low,2024-09-17T20:31:00,User Report (Chatbot)
94,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Sukkur,High,2025-01-29T17:18:00,https://www.dawn.com/
95,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Sialkot,Critical,2024-11-06T05:49:00,User Report (Chatbot)
96,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Peshawar,Critical,2024-11-13T18:26:00,User Report (Chatbot)
97,road_condition,Potholes on main road,Several potholes reported on the central road.,Faisalabad,Critical,2024-12-25T06:58:00,https://arynews.tv/
98,road_condition,Potholes on main road,Several potholes reported on the central road.,Faisalabad,High,2024-09-16T06:15:00,User Report (Chatbot)
99,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Faisalabad,Critical,2024-11-15T18:27:00,Local Traffic Police Report
100,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Hyderabad,Medium,2024-12-03T05:44:00,Local Traffic Police Report
101,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Lahore,Low,2025-03-27T07:29:00,User Report (Chatbot)
102,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Multan,Low,2025-06-28T07:32:00,https://www.geo.tv/
103,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Karachi,Medium,2025-02-02T18:14:00,https://www.geo.tv/
104,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Rawalpindi,High,2024-11-28T11:49:00,https://arynews.tv/
105,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Quetta,Critical,2024-11-05T01:23:00,https://www.geo.tv/
